dedup_group_id,name_clean,group_size,kept_mountain_id,kept_name,rows_dropped,max_distance_within_group_km,kept_score
dedup_00001,agamomata,2,agamomata_18.1548_120.9678,Mount Agamomata,1,,190.9
dedup_00002,agtuuganon,2,agtuuganon_7.7978_126.2035,Mount Agtuuganon,1,,240.2
dedup_00003,agudo,2,agudo_14.8917_120.1098,Mount Agudo,1,,189.7
dedup_00004,agudo,2,agudo_9.6_125.45,Mount Agudo,1,,189.2
dedup_00005,agudo,2,agudo_11.386_123.0036,Mount Agudo,1,,189.2
dedup_00006,bagsak,2,bagsak_5.8893_125.568,Mount Bagsak,1,,190.9
dedup_00007,bagsak,2,bagsak_6.0281_121.1394,Mount Bagsak,1,,190.9
dedup_00008,balabac,2,balabac_11.6013_122.1473,Mount Balabac,1,,190.9
dedup_00009,bantay lakay,2,bantay lakay_16.4207_121.4112,Mount Bantay Lakay,1,,201.4
dedup_00010,bener,2,bener_18.1464_120.9611,Mount Bener,1,,192.2
dedup_00011,binmaca,2,binmaca_16.68_120.6014,Mount Binmaca,1,,240.1
dedup_00012,burnay,2,burnay_17.943_120.9216,Mount Burnay,1,,251.9
dedup_00013,camingingel,2,camingingel_17.1829_120.8713,Mount Camingingel,1,,251.9
dedup_00014,casiama,2,casiama_18.1432_120.9489,Mount Casiama,1,,140.4
dedup_00015,catmon,3,catmon_10.3617_125.1431,Mount Catmon,2,,265.4
dedup_00016,catmon,3,catmon_11.3593_124.3792,Mount Catmon,2,,219.9
dedup_00017,conical peak,2,conical peak_12.3907_123.4803,Conical Peak,1,,240.2
dedup_00018,conical peak,2,conical peak_13.85_124.15,Conical Peak,1,,240.1
dedup_00019,conico,2,conico_12.3348_122.6205,Mount Conico,1,,240.2
dedup_00020,conico,2,conico_9.853_125.606,Mount Conico,1,,195.2
dedup_00021,dagot,2,dagot_17.8431_120.7019,Mount Dagot,1,,240.2
dedup_00022,double peak,2,double peak_9.5779_125.5478,Double Peak,1,,195.2
dedup_00023,double peak,2,double peak_8.7233_117.4247,Double Peak,1,,240.2
dedup_00024,double peak,2,double peak_10.5667_119.6167,Double Peak,1,,94.6
dedup_00025,escarpado peak,2,escarpado peak_10.1178_119.1558,Escarpado Peak,1,,240.2
dedup_00026,escarpado peak,2,escarpado peak_8.6041_117.3709,Escarpado Peak,1,,195.2
dedup_00027,hingatungan,2,hingatungan_10.5868_125.1158,Mount Hingatungan,1,,240.2
dedup_00028,kilang,2,kilang_18.1091_120.9358,Mount Kilang,1,,140.4
dedup_00029,knob peak,2,knob peak_19.557_121.9781,Knob Peak,1,,242.7
dedup_00030,labo,6,labo_14.0132_122.7877,Mount Labo,5,,265.4
dedup_00031,lobo,4,lobo_16.7694_120.6842,Mount Lobo,3,,251.8
dedup_00032,lunas,3,lunas_10.2543_124.9152,Mount Lunas,2,,240.2
