mountain_id,name,name_original,name_clean,alt_names,elev_final_m,elev_final_source,marker_size,expected_marker_size,marker_size_check,elev,prom,peakvisor_elev_m,peakvisor_prom_m,peakvisor_elev_source_unit,peakvisor_prom_source_unit,peakvisor_elev_difference_m,peakvisor_elev_validation_flag,repo_name,repo_elev,repo_prom,repo_coord,repo_is_volc,repo_prov,repo_region,repo_isl_grp,repo_alt_names,repo_marker_size,repo_source_file,repo_match_status,repo_elev_difference,repo_elev_validation_flag,prom_enriched,prom_enrichment_source,is_volc_enriched,is_volc_enrichment_source,coord,lat,lon,coord_source,lat_quickmap,lon_quickmap,peakvisor_lat,peakvisor_lon,prov,prov_psgc_code,region,region_name,region_code,isl_grp,prov_gis_original,region_gis_original,admin_note,is_volc,has_volcano_info,volcano_sentence,has_trail_info,trail_sentence,peakvisor_location_text,peakvisor_about_text,source,source_file,data_quality_notes,quickmap_match,quickmap_distance_km,quickmap_validation_note,quickmap_status,quickmap_confidence,priority_group,detail_scrape_status,url_source,detail_url,detail_url_peakvisor,osm_id,osm_type,osm_tags,geometry,index_right,peak_key,elev_raw,source.1,name_quickmap,elev_quickmap,peakvisor_name,best_group_elev,elev_filled_from_same_mountain,elev_after_same_mountain_fill,elev_after_external_fill,elev_external_source,elev_external_note,prom_final_m,is_volc_final,prom_final_source,is_volc_final_source,duplicate_donor_score,quickmap_score_attr,peakvisor_score_attr,repo_score_attr,attr_donor_score,dedup_original_index,dedup_row_score,dedup_group_id,dedup_action
agamomata_18.1548_120.9678,Mount Agamomata,Mount Agamomata,agamomata,[],1649.0,original_elev,large,large,correct,1649.0,,,,,,,,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,"18.1547627, 120.9678056",18.1547627,120.9678056,OpenStreetMap,18.15476,120.96781,,,Apayao,1408100000.0,CAR,Cordillera Administrative Region  (CAR),1400000000.0,Luzon,Apayao,Cordillera Administrative Region (CAR),,,,,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-cordilleraadministrativeregioncar.0.01.json,,True,0.0005534160793435,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,,,,,,332020901,node,"{'ele': '1649', 'gns:dsg': 'MT', 'gns:uni': '-3322054', 'is_in:state': 'Kalinga-Apayao', 'name': 'Mount Agamomata', 'natural': 'peak', 'source': 'GNS'}",POINT (120.9678056 18.1547627),8.0,mount agamomata | apayao | car,1649,OpenStreetMap,Mount Agamomata,1649.0,,,False,1649.0,1649.0,already_filled_or_original,kept existing elevation,,,missing,missing,0,3,0,0,30,21,190.9,dedup_00001,drop_duplicate
agtuuganon_7.7978_126.2035,Mount Agtuuganon,Mount Agtuuganon,agtuuganon,[],1660.0,original_elev,large,large,correct,1660.0,,,,,,,,Mount Agtuuganon,1660.0,1195.0,7°47′51″N 126°12′13″E,,['Davao Oriental' 'Davao de Oro'],['Region XI'],Mindanao,[],large,davao_oriental.geojson,matched_repo_geojson,0.0,close_match,1195.0,repo_geojson,,missing,"7.7977663, 126.2034652",7.7977663,126.2034652,OpenStreetMap,7.80076,126.20175,,,Davao de Oro,1108200000.0,Region XI,Region XI (Davao Region),1100000000.0,Mindanao,Compostela Valley,Davao Region (Region XI),,,,,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-davaoregionregionxi.0.01.json,,True,0.3827751045794778,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,,,,,,332020448,node,"{'ele': '1660', 'gns:dsg': 'MT', 'gns:uni': '-3322412', 'is_in:state': 'Davao Oriental', 'name': 'Mount Agtuuganon', 'natural': 'peak', 'source': 'GNS'}",POINT (126.2034652 7.7977663),39.0,mount agtuuganon | davao de oro | region xi,1660,OpenStreetMap,Mount Agtuuganon,1660.0,,,False,1660.0,1660.0,already_filled_or_original,kept existing elevation,1195.0,,existing_row_value,missing,0,3,0,3,39,41,240.2,dedup_00002,drop_duplicate
agudo_14.8917_120.1098,Mount Agudo,Mount Agudo,agudo,[],990.0,original_elev,medium,medium,correct,990.0,,,,,,,,Mount Agudo,812.0,738.0,11°23′11″N 123°0′11″E,,['Iloilo' 'Capiz'],['Region VI'],Visayas,[],medium,iloilo.geojson,matched_repo_geojson,-178.0,needs_review,738.0,repo_geojson,,missing,"14.8916557, 120.109819",14.8916557,120.109819,OpenStreetMap,,,,,Zambales,307100000.0,Region III,Region III (Central Luzon),300000000.0,Luzon,Zambales,Central Luzon (Region III),,,,,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-centralluzonregioniii.0.01.json,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,332021778,node,"{'ele': '990', 'name': 'Mount Agudo', 'natural': 'peak', 'source:name': 'GNS', 'wikidata': 'Q30477156'}",POINT (120.109819 14.8916557),81.0,mount agudo | zambales | region iii,990,OpenStreetMap,,,,,False,990.0,990.0,already_filled_or_original,kept existing elevation,738.0,,existing_row_value,missing,0,0,0,1,3,45,189.7,dedup_00003,drop_duplicate
agudo_9.6_125.45,Mount Agudo,Mount Agudo,agudo,[],783.0,peakvisor_missing_elev_enrichment,medium,medium,correct,,,,,,,,,Mount Agudo,812.0,738.0,11°23′11″N 123°0′11″E,,['Iloilo' 'Capiz'],['Region VI'],Visayas,[],medium,iloilo.geojson,matched_repo_geojson,,no_original_elevation,738.0,repo_geojson,,missing,"9.6, 125.45",9.6,125.45,OpenStreetMap,,,,,Surigao del Norte,1606700000.0,Region XIII,Region XIII (Caraga),1600000000.0,Mindanao,Surigao del Norte,Caraga (Region XIII),,,,,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-caragaregionxiii.0.01.json,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,332020507,node,"{'gns:dsg': 'MT', 'gns:uni': '-3322449', 'is_in:state': 'Surigao del Norte', 'name': 'Mount Agudo', 'natural': 'peak', 'source': 'GNS'}",POINT (125.45 9.6),16.0,mount agudo | surigao del norte | region xiii,,OpenStreetMap,,,,,False,,,missing,no safe elevation source,738.0,,existing_row_value,missing,0,0,0,1,3,47,189.2,dedup_00004,drop_duplicate
agudo_11.386_123.0036,Mount Agudo,Mount Agudo,agudo,[],783.0,peakvisor_missing_elev_enrichment,medium,medium,correct,,,,,,,,,Mount Agudo,812.0,738.0,11°23′11″N 123°0′11″E,,['Iloilo' 'Capiz'],['Region VI'],Visayas,[],medium,iloilo.geojson,matched_repo_geojson,,no_original_elevation,738.0,repo_geojson,,missing,"11.3859833, 123.00357",11.3859833,123.00357,OpenStreetMap,,,,,Capiz,601900000.0,Region VI,Region VI  (Western Visayas),600000000.0,Visayas,Capiz,Western Visayas (Region VI),,,,,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-westernvisayasregionvi.0.01.json,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,332021591,node,"{'gns:dsg': 'MT', 'gns:uni': '-3322450', 'is_in:state': 'Iloilo', 'name': 'Mount Agudo', 'natural': 'peak', 'source': 'GNS', 'wikidata': 'Q31504800'}",POINT (123.00357 11.3859833),64.0,mount agudo | capiz | region vi,,OpenStreetMap,,,,,False,,,missing,no safe elevation source,738.0,,existing_row_value,missing,0,0,0,1,3,49,189.2,dedup_00005,drop_duplicate
bagsak_5.8893_125.568,Mount Bagsak,Mount Bagsak,bagsak,[],1142.0,original_elev,medium,medium,correct,1142.0,,,,,,,,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,"5.8892865, 125.5679676",5.8892865,125.5679676,OpenStreetMap,6.02806,121.13944,,,Davao del Sur,1102400000.0,Region XI,Region XI (Davao Region),1100000000.0,Mindanao,Davao del Sur,Davao Region (Region XI),,,,,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-davaoregionregionxi.0.01.json,,True,490.0108081110866,QuickMap match: coordinate differs; review,Review QuickMap coordinate mismatch,Low confidence - likely wrong name match,,,,,,332019822,node,"{'ele': '1142', 'name': 'Mount Bagsak', 'natural': 'peak', 'source': 'GNS'}",POINT (125.5679676 5.8892865),41.0,mount bagsak | davao del sur | region xi,1142,OpenStreetMap,Mount Bagsak,590.0,,,False,1142.0,1142.0,already_filled_or_original,kept existing elevation,,,missing,missing,0,1,0,0,10,183,145.9,dedup_00006,drop_duplicate
bagsak_6.0281_121.1394,Mount Bagsak,Mount Bagsak,bagsak,[],590.0,original_elev,medium,medium,correct,590.0,,,,,,,,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,"6.028056, 121.139444",6.028056,121.139444,OpenStreetMap,5.88194,125.57361,,,Sulu,906600000.0,Region IX,Region IX  (Zamboanga Peninsula),900000000.0,Mindanao,Sulu,Autonomous Region of Muslim Mindanao (ARMM),,,,,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-autonomousregionofmuslimmindanaoarmm.0.01.json,,True,490.6636933936618,QuickMap match: coordinate differs; review,Review QuickMap coordinate mismatch,Low confidence - likely wrong name match,,,,,,332021590,node,"{'ele': '590', 'gns:dsg': 'MT', 'gns:uni': '-3325970', 'is_in:state': 'Sulu', 'name': 'Mount Bagsak', 'natural': 'peak', 'source': 'GNS'}",POINT (121.139444 6.028056),32.0,mount bagsak | sulu | region ix,590,OpenStreetMap,Mount Bagsak,1142.0,,,False,590.0,590.0,already_filled_or_original,kept existing elevation,,,missing,missing,0,1,0,0,10,184,145.9,dedup_00007,drop_duplicate
balabac_11.6013_122.1473,Mount Balabac,Mount Balabac,balabac,[],1024.0,original_elev,medium,medium,correct,1024.0,,,,,,,,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,"11.6013202, 122.1472962",11.6013202,122.1472962,OpenStreetMap,14.82594,121.17903,,,Antique,600600000.0,Region VI,Region VI  (Western Visayas),600000000.0,Visayas,Antique,Western Visayas (Region VI),,,,,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-westernvisayasregionvi.0.01.json,,True,373.56285120873855,QuickMap match: coordinate differs; review,Review QuickMap coordinate mismatch,Low confidence - likely wrong name match,,,,,,332021555,node,"{'ele': '1024', 'gns:dsg': 'MT', 'gns:uni': '-3326379', 'is_in:state': 'Aklan', 'name': 'Mount Balabac', 'natural': 'peak', 'source': 'GNS', 'wikidata': 'Q31502887'}",POINT (122.1472962 11.6013202),63.0,mount balabac | antique | region vi,1024,OpenStreetMap,Mount Balabac,793.0,,,False,1024.0,1024.0,already_filled_or_original,kept existing elevation,,,missing,missing,0,1,0,0,10,199,145.9,dedup_00008,drop_duplicate
bantay lakay_16.4207_121.4112,Mount Bantay Lakay,Bantay Lakay,bantay lakay,['Bantay Lakay'],1400.0,original_elev,medium,medium,correct,1400.0,,1400.0,680.0,m_from_title,m_from_about,0.0,close_match,Bantay Lakay,1400.0,680.0,16°25′17″N 121°24′40″E,,['Quirino' 'Nueva Vizcaya'],['Region II'],Luzon,[],medium,nueva_vizcaya.geojson,matched_repo_geojson,0.0,close_match,680.0,repo_geojson,,missing,"16.4207422, 121.4112009",16.4207422,121.4112009,OpenStreetMap,,,16.421375,121.41099,Nueva Vizcaya,205000000.0,Region II,Region II (Cagayan Valley),200000000.0,Luzon,Nueva Vizcaya,Cagayan Valley (Region II),,,False,,True,Accept Reject PeakVisor Panorama 3D Hiking Map 3D Ski Map 3D Panorama 3D Import Photo Get PeakVisor App Sign In Search by GPS coordinates Teleport Latitude N S ° ' '' Longitude E W ° ' '' Units of Length m/km ft/mi Temperature ℃ ℉ Silhouettes Color [ Shift + C ] Hiking Map Hiking Map 3D Ski Map Ski Map 3D Panorama 3D Search by GPS coordinates Sign In Contact us GPS coordinates Settings Enter your name for confirmation: Yes Cancel ❤ Wishlist × Choose Delete Share × Copy Link Copy Coordinates Send to device Export to Garmin Export to Suunto Available for connected Garmin and Suunto accounts. 680 m Prominence Peak’s prominence is the least vertical to be covered to get from the summit to any other higher terrain.,Philippines Quirino Nueva Vizcaya,Bantay Lakay (1 400m/4 593ft a.s.l.) is a mountain in Philippines . The prominence is 680m/2 231ft.,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-cagayanvalleyregionii.0.01.json,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,medium,scraped_with_keywords,slug_guess,,https://peakvisor.com/peak/bantay-lakay.html,9061369829,node,"{'ele': '1400', 'name': 'Bantay Lakay', 'natural': 'peak', 'source': 'Kiyaw Mountaineers; Schadow1 Expeditions', 'survey:date': '2021-07-30'}",POINT (121.4112009 16.4207422),21.0,mount bantay lakay | nueva vizcaya | region ii,1400,OpenStreetMap,,,,,False,1400.0,1400.0,already_filled_or_original,kept existing elevation,680.0,,existing_row_value,missing,0,0,3,3,24,276,201.4,dedup_00009,drop_duplicate
bener_18.1464_120.9611,Mount Bener,Mount Bener,bener,[],1317.0,original_elev,medium,medium,correct,1317.0,,1469.0,62.0,m_from_title,m_from_about,152.0,needs_review,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,"18.1463832, 120.9611347",18.1463832,120.9611347,OpenStreetMap,,,18.143838,120.960885,Apayao,1408100000.0,CAR,Cordillera Administrative Region  (CAR),1400000000.0,Luzon,Apayao,Cordillera Administrative Region (CAR),,,False,,True,Accept Reject PeakVisor Panorama 3D Hiking Map 3D Ski Map 3D Panorama 3D Import Photo Get PeakVisor App Sign In Search by GPS coordinates Teleport Latitude N S ° ' '' Longitude E W ° ' '' Units of Length m/km ft/mi Temperature ℃ ℉ Silhouettes Color [ Shift + C ] Hiking Map Hiking Map 3D Ski Map Ski Map 3D Panorama 3D Search by GPS coordinates Sign In Contact us GPS coordinates Settings Enter your name for confirmation: Yes Cancel ❤ Wishlist × Choose Delete Share × Copy Link Copy Coordinates Send to device Export to Garmin Export to Suunto Available for connected Garmin and Suunto accounts. 62 m Prominence Peak’s prominence is the least vertical to be covered to get from the summit to any other higher terrain.,Philippines Ilocos Norte Apayao,Mount Bener (1 469m/4 820ft a.s.l.) is a mountain in Philippines . The prominence is 62m/203ft.,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-cordilleraadministrativeregioncar.0.01.json,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,medium,scraped_with_keywords,slug_guess,,https://peakvisor.com/peak/mount-bener.html,332021667,node,"{'ele': '1317', 'gns:dsg': 'MT', 'gns:uni': '-3330244', 'is_in:state': 'Ilocos Norte', 'name': 'Mount Bener', 'natural': 'peak', 'source': 'GNS'}",POINT (120.9611347 18.1463832),8.0,mount bener | apayao | car,1317,OpenStreetMap,,,,,False,1317.0,1317.0,already_filled_or_original,kept existing elevation,62.0,,existing_row_value,missing,0,0,1,0,5,333,192.2,dedup_00010,drop_duplicate
binmaca_16.68_120.6014,Mount Binmaca,Mount Binmaca,binmaca,[],1576.0,original_elev,large,large,correct,1576.0,,,,,,,,Mount Binmaca,1665.0,570.0,16°40′43″N 120°36′7″E,,['Ilocos Sur' 'Benguet'],['CAR' 'Region I'],Luzon,[],large,benguet.geojson,matched_repo_geojson,89.0,minor_difference,570.0,repo_geojson,,missing,"16.68, 120.601389",16.68,120.601389,OpenStreetMap,16.6816,120.6082,,,Benguet,1401100000.0,CAR,Cordillera Administrative Region  (CAR),1400000000.0,Luzon,Benguet,Cordillera Administrative Region (CAR),,,,,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-cordilleraadministrativeregioncar.0.01.json,,True,0.7469749862858892,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,,,,,,332020860,node,"{'gns:dsg': 'MT', 'gns:uni': '-3331041', 'is_in:state': 'Ilocos Sur', 'name': 'Mount Binmaca', 'natural': 'peak', 'source': 'GNS'}",POINT (120.601389 16.68),9.0,mount binmaca | benguet | car,,OpenStreetMap,Mount Binmaca,1576.0,,,False,1576.0,1576.0,already_filled_or_original,kept existing elevation,570.0,,existing_row_value,missing,0,3,0,2,36,368,240.1,dedup_00011,drop_duplicate
