mountain_id,name,elev,prom,lat,lon,coord,is_volc,province,region,region_name,isl_grp,marker_size,source,data_quality_notes
387_15.9003_120.9738,Mount 387,777.0,,15.900298,120.9737706,"15.900298, 120.9737706",,Nueva Ecija,Region III,Region III (Central Luzon),Luzon,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
abao_16.8323_120.9149,Mount Abao,2527.0,1095.0,16.8323069,120.9148864,"16.8323069, 120.9148864",,Ifugao,CAR,Cordillera Administrative Region  (CAR),Luzon,large,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
abel's peak_12.4311_122.5738,Abel's Peak,1464.0,100.0,12.4311298,122.5737552,"12.4311298, 122.5737552",,Romblon,MIMAROPA,MIMAROPA Region,Luzon,medium,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
abnataclayong_5.675_125.3669,Mount Abnataclayong,370.0,,5.675,125.366944,"5.675, 125.366944",,Sarangani,Region XII,Region XII (SOCCSKSARGEN),Mindanao,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
aboabo_9.1475_118.06,Mount Aboabo,395.0,,9.1475284,118.060024,"9.1475284, 118.060024",,Palawan,MIMAROPA,MIMAROPA Region,Luzon,small,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
abong-abong peak_6.5017_121.985,Abong-abong Peak,885.0,,6.5016836,121.9849993,"6.5016836, 121.9849993",,Basilan,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Mindanao,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
abongabong_13.3955_120.7504,Mount Abongabong,792.0,,13.3954548,120.7503755,"13.3954548, 120.7503755",,Occidental Mindoro,MIMAROPA,MIMAROPA Region,Luzon,medium,OpenStreetMap,elev_source=peakvisor_missing_elev_enrichment; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
aborlan_9.5106_118.4672,Mount Aborlan,745.0,408.0,9.510556,118.467222,"9.510556, 118.467222",,Palawan,MIMAROPA,MIMAROPA Region,Luzon,medium,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
abra de ilog_13.4545_120.6736,Mount Abra de Ilog,1018.0,537.0,13.4545261,120.673642,"13.4545261, 120.673642",,Occidental Mindoro,MIMAROPA,MIMAROPA Region,Luzon,medium,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
abriringan_18.299_122.2704,Mount Abriringan,659.0,,18.2989998,122.2703722,"18.2989998, 122.2703722",,Cagayan,Region II,Region II (Cagayan Valley),Luzon,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
abunabun_7.4681_124.1794,Mount Abunabun,606.0,312.0,7.468056,124.179444,"7.468056, 124.179444",,Lanao del Sur,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Mindanao,medium,OpenStreetMap,elev_source=original_elev; prom_source=existing_row_value; is_volc_source=missing; dedup_action=keep_unique
abuno peak_6.9177_125.4068,Abuno Peak,1292.0,,6.9177346,125.4067536,"6.9177346, 125.4067536",,Davao del Sur,Region XI,Region XI (Davao Region),Mindanao,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
abuyog_10.3833_125.1,Mount Abuyog,414.0,,10.383333,125.1,"10.383333, 125.1",,Southern Leyte,Region VIII,Region VIII  (Eastern Visayas),Visayas,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
acararao_11.1545_122.6781,Mount Acararao,287.0,,11.154491,122.6781006,"11.154491, 122.6781006",,Iloilo,Region VI,Region VI  (Western Visayas),Visayas,small,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
acotay_11.5839_122.1317,Mount Acotay,988.0,,11.583889,122.131667,"11.583889, 122.131667",,Antique,Region VI,Region VI  (Western Visayas),Visayas,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
acsubing_10.4513_123.9145,Mount Acsubing,520.0,,10.4512706,123.9144602,"10.4512706, 123.9144602",,Cebu,Region VII,Region VII  (Central Visayas),Visayas,medium,OpenStreetMap,elev_source=original_elev; prom_source=missing; is_volc_source=missing; dedup_action=keep_unique
