name,latitude,longitude,country,region,elevation_m,population,feature_type,geoname_id
Mount Apo,6.98781,125.27109,Philippines,Soccsksargen,2954,0,mountain,1730340
Mount Katanglad,8.11833,124.92222,Philippines,Northern Mindanao,2938,0,mountain,1709118
Mount Pulog,16.59778,120.89914,Philippines,Cordillera,2934,0,mountain,1692545
Mount Ragang,7.70986,124.53466,Philippines,Autonomous Region in Muslim Mindanao,2815,0,mountain,1691947
Mount Piapayungan,7.69043,124.50671,Philippines,Soccsksargen,2815,0,mountain,1693990
Mount Ma-agnaw,8.1225,124.87694,Philippines,Northern Mindanao,2742,0,mountain,6569733
Mount Clawit,16.9609,120.9706,Philippines,Cordillera,2713,0,mountain,1717344
Mount Mongawto,16.65418,120.78664,Philippines,Cordillera,2710,0,mountain,7427112
Mount Kapiligan,16.8453,120.9411,Philippines,Cordillera,2709,0,mountain,1709236
Mount Amuyan,17.01185,121.12934,Philippines,Cordillera,2701,0,mountain,1730944
Mount Tagub,7.4328,126.2239,Philippines,Davao Region,2670,0,mountain,1684324
Mount Alal,16.64628,120.88344,Philippines,Cordillera,2658,0,mountain,7427039
Mount Panatoan,16.66437,120.88754,Philippines,Cordillera,2657,0,mountain,1695025
Mount Nanluyaw,8.14056,124.85333,Philippines,Northern Mindanao,2612,0,mountain,1698245
Mount Babadak,16.57898,120.88424,Philippines,Cordillera,2589,0,mountain,7427205
Mount Halcon,13.2624,120.9954,Philippines,Mimaropa,2582,0,mountain,1711951
Mount Abao,16.8333,120.9167,Philippines,Cordillera,2524,0,mountain,1732476
Mount Mangabon,8.60528,125.10861,Philippines,Northern Mindanao,2510,0,mountain,1701888
Mount Baco,12.8211,121.1731,Philippines,Mimaropa,2488,0,mountain,1729591
Mount Sapocoy,17.3808,121.0075,Philippines,Cordillera,2456,0,mountain,1687215
Mount Malindang,8.2182,123.6348,Philippines,Northern Mindanao,2404,0,mountain,1702707
Mount Alchan,17.25064,120.96925,Philippines,Cordillera,2402,0,mountain,1731590
Mount Kampalili,7.3103,126.2805,Philippines,Bicol Region,2396,0,mountain,1709484
Mount Camingingel,17.1825,120.871,Philippines,Cordillera,2364,0,mountain,1719673
Mount Sicapoo,18.01499,120.93758,Philippines,Cordillera,2361,0,mountain,1686684
Mount Loco-ono,17.1769,120.8713,Philippines,Cordillera,2349,0,mountain,7633938
Mount Pauadan,16.50298,120.88474,Philippines,Cordillera,2344,0,mountain,1694283
Mount Kilakron,7.95639,124.87722,Philippines,Northern Mindanao,2329,0,mountain,1995572
Mount Binuluan,17.3329,121.1447,Philippines,Cordillera,2329,0,mountain,1724829
Mount Binulauan,17.3101,121.1005,Philippines,Cordillera,2328,0,mountain,1724846
Mount Latukan,7.65452,124.43847,Philippines,Autonomous Region in Muslim Mindanao,2328,0,mountain,1707110
"Mount Balatucan, Gingoog City",8.77009,124.98,Philippines,Northern Mindanao,2328,0,mountain,1728359
Mount Napalauan,16.807,120.9586,Philippines,Cordillera,2298,0,mountain,1698210
Mount Pack,16.4595,120.891,Philippines,Cordillera,2290,0,mountain,1696831
Mount Matoni,17.1821,120.8897,Philippines,Cordillera,2285,0,mountain,7633937
Mount Santo Tomas,16.33513,120.56091,Philippines,Cordillera,2251,0,mountain,1687508
Mount Guibul,16.73857,120.95064,Philippines,Cordillera,2249,0,mountain,1712542
Mount Sumagaya,8.65583,125.02722,Philippines,Northern Mindanao,2247,0,mountain,1685346
Mount Balait,17.42483,120.99555,Philippines,Cordillera,2238,0,mountain,1728565
Mount Mosimus,17.3016,121.0512,Philippines,Cordillera,2233,0,mountain,1699185
Mount Lacob-ti-duyog,17.576,121.1441,Philippines,Cordillera,2217,0,mountain,1708205
Mount Data,16.88086,120.84914,Philippines,Cordillera,2207,0,mountain,1715418
Mount Toyangan,16.5684,120.736,Philippines,Cordillera,2202,0,mountain,1681368
North Peak,8.2942,123.6281,Philippines,Northern Mindanao,2183,0,peak,1697533
Mount Bayoyo,16.59358,120.76024,Philippines,Cordillera,2170,0,mountain,7427135
Mount Maspit,17.1547,120.8548,Philippines,Cordillera,2163,0,mountain,7633939
Mount Kaatoan,8.11778,124.98083,Philippines,Northern Mindanao,2153,0,mountain,1710017
Mount Ugu,16.3194,120.8027,Philippines,Cagayan Valley,2150,0,mountain,1680409
Mount Bangbanglang,17.3195,120.9241,Philippines,Cordillera,2144,0,mountain,1727304
