prov,region,isl_grp,alt_names,prov_psgc_code,region_name,region_code,source
Abra,CAR,Luzon,,1400100000,Cordillera Administrative Region  (CAR),1400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Apayao,CAR,Luzon,,1408100000,Cordillera Administrative Region  (CAR),1400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Benguet,CAR,Luzon,,1401100000,Cordillera Administrative Region  (CAR),1400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Ifugao,CAR,Luzon,,1402700000,Cordillera Administrative Region  (CAR),1400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Kalinga,CAR,Luzon,,1403200000,Cordillera Administrative Region  (CAR),1400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Mountain Province,CAR,Luzon,,1404400000,Cordillera Administrative Region  (CAR),1400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Ilocos Norte,Region I,Luzon,,0102800000,Region I  (Ilocos Region),0100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Ilocos Sur,Region I,Luzon,,0102900000,Region I  (Ilocos Region),0100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
La Union,Region I,Luzon,,0103300000,Region I  (Ilocos Region),0100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Pangasinan,Region I,Luzon,,0105500000,Region I  (Ilocos Region),0100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Batanes,Region II,Luzon,,0200900000,Region II (Cagayan Valley),0200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Cagayan,Region II,Luzon,,0201500000,Region II (Cagayan Valley),0200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Isabela,Region II,Luzon,,0203100000,Region II (Cagayan Valley),0200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Nueva Vizcaya,Region II,Luzon,,0205000000,Region II (Cagayan Valley),0200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Quirino,Region II,Luzon,,0205700000,Region II (Cagayan Valley),0200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Aurora,Region III,Luzon,,0307700000,Region III (Central Luzon),0300000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
